
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
726 -9878 -9878 -8083.0
727 -11642 -11642 -9878.0
728 -13367 -13367 -11642.0
729 -15049 -15049 -13367.0
730 -16682 -16682 -15049.0
731 -18261 -18261 -16682.0
732 -19780 -19780 -18261.0
733 -21235 -21235 -19780.0
734 -22622 -22622 -21235.0
735 -23935 -23935 -22622.0
736 -25170 -25170 -23935.0
737 -26323 -26323 -25170.0
738 -27391 -27391 -26323.0
739 -28370 -28370 -27391.0
740 -29257 -29257 -28370.0
741 -30049 -30049 -29257.0
742 -30744 -30744 -30049.0
743 -31338 -31338 -30744.0
744 -31831 -31831 -31338.0
745 -32220 -32220 -31831.0
746 -32505 -32505 -32220.0
747 -32685 -32685 -32505.0
748 -32758 -32758 -32685.0
749 -32724 -32724 -32758.0
750 -32585 -32585 -32724.0
751 -32340 -32340 -32585.0
752 -31989 -31989 -32340.0
753 -31535 -31535 -31989.0
754 -30978 -30978 -31535.0
755 -30321 -30321 -30978.0
756 -29566 -29566 -30321.0
757 -28714 -28714 -29566.0
758 -27769 -27769 -28714.0
759 -26734 -26734 -27769.0
760 -25612 -25612 -26734.0
761 -24407 -24407 -25612.0
762 -23123 -23123 -24407.0
763 -21764 -21764 -23123.0
764 -20334 -20334 -21764.0
765 -18838 -18838 -20334.0
766 -17280 -17280 -18838.0
767 -15667 -15667 -17280.0
768 -14003 -14003 -15667.0
769 -12293 -12293 -14003.0
770 -10544 -10544 -12293.0
771 -8760 -8760 -10544.0
772 -6948 -6948 -8760.0
773 -5113 -5113 -6948.0
774 -3261 -3261 -5113.0
775 -1399 -1399 -3261.0
776 466 466 -1399.0
777 2331 2331 466.0
778 4189 4189 2331.0
779 6033 6033 4189.0
780 7857 7857 6033.0
781 9656 9656 7857.0
782 11423 11423 9656.0
783 13153 13153 11423.0
784 14841 14841 13153.0
785 16480 16480 14841.0
786 18066 18066 16480.0
787 19594 19594 18066.0
788 21057 21057 19594.0
789 22452 22452 21057.0
790 23775 23775 22452.0
791 25020 25020 23775.0
792 26184 26184 25020.0
793 27263 27263 26184.0
794 28253 28253 27263.0
795 29152 29152 28253.0
796 29956 29956 29152.0
797 30662 30662 29956.0
798 31269 31269 30662.0
799 31775 31775 31269.0
800 32177 32177 31775.0
801 32475 32475 32177.0
802 32668 32668 32475.0
803 32754 32754 32668.0
804 32734 32734 32754.0
805 32608 32608 32734.0
806 32376 32376 32608.0
807 32039 32039 32376.0
808 31597 31597 32039.0
809 31054 31054 31597.0
810 30409 30409 31054.0
811 29665 29665 30409.0
812 28826 28826 29665.0
813 27892 27892 28826.0
814 26868 26868 27892.0
815 25757 25757 26868.0
816 24562 24562 25757.0
817 23288 23288 24562.0
818 21938 21938 23288.0
819 20516 20516 21938.0
820 19028 19028 20516.0
821 17478 17478 19028.0
822 15872 15872 17478.0
823 14214 14214 15872.0
824 12509 12509 14214.0
825 10764 10764 12509.0
826 8985 8985 10764.0
