
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   257 0.22777182418573225
debug TranLossPrecent   258 0.22646443075930597
debug TranLossPrecent   259 0.22516454167446182
debug TranLossPrecent   260 0.22387211385683395
debug TranLossPrecent   261 0.2225871044793005
debug TranLossPrecent   262 0.22130947096056378
debug TranLossPrecent   263 0.22003917096373987
debug TranLossPrecent   264 0.21877616239495526
debug TranLossPrecent   265 0.21752040340195228
debug TranLossPrecent   266 0.21627185237270202
debug TranLossPrecent   267 0.21503046793402567
debug TranLossPrecent   268 0.2137962089502232
debug TranLossPrecent   269 0.21256903452171072
debug TranLossPrecent   270 0.21134890398366465
debug TranLossPrecent   271 0.2101357769046748
debug TranLossPrecent   272 0.20892961308540392
debug TranLossPrecent   273 0.20773037255725635
debug TranLossPrecent   274 0.20653801558105292
debug TranLossPrecent   275 0.2053525026457146
debug TranLossPrecent   276 0.20417379446695297
debug TranLossPrecent   277 0.2030018519859684
debug TranLossPrecent   278 0.20183663636815613
debug TranLossPrecent   279 0.2006781090018189
debug TranLossPrecent   280 0.199526231496888
debug TranLossPrecent   281 0.19838096568365057
debug TranLossPrecent   282 0.1972422736114854
debug TranLossPrecent   283 0.19611011754760477
debug TranLossPrecent   284 0.19498445997580455
debug TranLossPrecent   285 0.19386526359522072
debug TranLossPrecent   286 0.1927524913190936
debug TranLossPrecent   287 0.19164610627353865
debug TranLossPrecent   288 0.19054607179632474
debug TranLossPrecent   289 0.1894523514356592
debug TranLossPrecent   290 0.18836490894898006
debug TranLossPrecent   291 0.18728370830175484
debug TranLossPrecent   292 0.18620871366628677
debug TranLossPrecent   293 0.18513988942052717
debug TranLossPrecent   294 0.1840772001468956
debug TranLossPrecent   295 0.18302061063110558
debug TranLossPrecent   296 0.18197008586099836
debug TranLossPrecent   297 0.18092559102538208
debug TranLossPrecent   298 0.1798870915128788
debug TranLossPrecent   299 0.17885455291077712
debug TranLossPrecent   300 0.1778279410038923
debug TranLossPrecent   301 0.17680722177343197
debug TranLossPrecent   302 0.17579236139586926
debug TranLossPrecent   303 0.17478332624182188
debug TranLossPrecent   304 0.17378008287493754
debug TranLossPrecent   305 0.17278259805078636
debug TranLossPrecent   306 0.17179083871575881
debug TranLossPrecent   307 0.17080477200597083
debug TranLossPrecent   308 0.16982436524617445
debug TranLossPrecent   309 0.16884958594867533
debug TranLossPrecent   310 0.16788040181225602
debug TranLossPrecent   311 0.16691678072110577
debug TranLossPrecent   312 0.16595869074375605
debug TranLossPrecent   313 0.16500610013202277
debug TranLossPrecent   314 0.16405897731995392
debug TranLossPrecent   315 0.16311729092278385
debug TranLossPrecent   316 0.162181009735893
debug TranLossPrecent   317 0.16125010273377416
debug TranLossPrecent   318 0.16032453906900415
debug TranLossPrecent   319 0.15940428807122176
debug TranLossPrecent   320 0.15848931924611134
debug TranLossPrecent   321 0.15757960227439244
debug TranLossPrecent   322 0.1566751070108149
debug TranLossPrecent   323 0.15577580348316025
debug TranLossPrecent   324 0.15488166189124813
debug TranLossPrecent   325 0.15399265260594922
debug TranLossPrecent   326 0.15310874616820305
debug TranLossPrecent   327 0.152229913288042
debug TranLossPrecent   328 0.15135612484362085
debug TranLossPrecent   329 0.15048735188025136
debug TranLossPrecent   330 0.14962356560944337
debug TranLossPrecent   331 0.1487647374079502
debug TranLossPrecent   332 0.14791083881682077
debug TranLossPrecent   333 0.14706184154045604
debug TranLossPrecent   334 0.14621771744567183
debug TranLossPrecent   335 0.14537843856076618
debug TranLossPrecent   336 0.14454397707459277
debug TranLossPrecent   337 0.14371430533563906
debug TranLossPrecent   338 0.1428893958511103
debug TranLossPrecent   339 0.1420692212860182
debug TranLossPrecent   340 0.14125375446227545
debug TranLossPrecent   341 0.14044296835779474
debug TranLossPrecent   342 0.13963683610559377
debug TranLossPrecent   343 0.13883533099290454
debug TranLossPrecent   344 0.1380384264602885
debug TranLossPrecent   345 0.1372460961007562
debug TranLossPrecent   346 0.13645831365889247
debug TranLossPrecent   347 0.13567505302998617
debug TranLossPrecent   348 0.13489628825916536
debug TranLossPrecent   349 0.1341219935405371
debug TranLossPrecent   350 0.1333521432163324
debug TranLossPrecent   351 0.13258671177605594
debug TranLossPrecent   352 0.1318256738556407
debug TranLossPrecent   353 0.1310690042366077
debug TranLossPrecent   354 0.13031667784522993
